Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Zimbabwe,1053528036.42755,1097206526.43457,1118172225.65019,1160103724.1325,1217759447.00099,1312105393.62448,1282403936.37681,1397715282.06274,1480355354.94474,1748891294.20526,1885168339.10681,2179828710.18738,2679096596.57517,3311043291.61257,3984194614.19552,4373532601.15703,4320576876.79177,4366610468.65438,4353822342.61788,5180102910.1171,6682278300.2622,8015464251.71692,8544060905.16113,7768031181.67262,6355369171.99585,5640137575.00727,6220698246.72927,6744657033.37727,7818774176.83792,8290553535.28012,8788301546.04498,8646000000.0,6755000000.0,6567250000.0,6894250000.0,7115000000.0,8557500000.0,8534000000.0,6405250000.0,6861500000.0,6693250000.0,6780750000.0,6345250000.0,5730500000.0,5808500000.0,5758250000.0,5446750000.0,5294750000.0,4418000000.0,9670750000.0,12047750000.0,14109000000.0,17123500000.0,19100750000.0,19505500000.0,19973250000.0,20559250000.0,51035657370.5179,34141666666.6667,33357695635.1284,31980334561.3123,41287673690.0771,40757561708.7741,35871779680.6335,41539411516.4448
Zambia,698739720.783607,682359727.329053,679279728.55982,704339718.545848,822639671.273187,1061199575.94465,1238999504.8958,1340639464.28047,1573739371.13375,1926399230.21087,1788779285.2038,1653259341.29113,1872416680.07912,2434255236.99935,2910981262.10018,2442672140.947,2742859262.9794,2515296939.60686,2811032472.93922,3353445378.15126,3884530853.76162,4008126497.36464,3871117092.86676,3321048451.15171,2719518932.99541,2252454500.14896,1664413508.09853,2265250972.34879,3728878148.80792,3994673161.02649,3288381797.32415,3376806697.1218,3182810841.01704,3273505343.85539,3656806165.78848,3806983413.16416,3597220962.00017,4303288479.7086,3537741941.89367,3404284890.5306,3600632111.41414,4094441301.21423,4193850445.42632,4901869764.05957,6221110219.45542,8331870169.14977,12756858899.2812,14056957976.2648,17910858637.9048,15328342303.9575,20265559483.8548,23459515275.5776,25503060420.026,28037239462.7142,27141023558.0829,21251216798.7762,20958412538.3093,25873601260.8353,26311507273.6735,23308667781.2258,18137764930.651,22096416932.0089,29163782140.4858,27577956471.244,25303185342.2511
Uganda,423145605.043164,441667334.611947,449158233.391351,516315231.449087,589247687.30035,884502309.953801,925381492.370153,967240655.186896,1037379252.41495,1168556628.86742,1259554808.90382,1417191656.16688,1490970180.59639,1701829789.02127,2098944967.20844,2359555555.55556,2447300000.0,2936470588.23529,2420260869.56522,2139025000.0,1244610000.0,1337300000.0,2177500000.0,2240333333.33333,3615647477.05434,3519695443.52516,3923244049.95796,6269522042.11556,6508931651.66667,5276480799.33868,4304399310.30967,3321729159.62277,2857457761.90922,3220439044.18949,3990430446.71216,5755818842.49246,6044585326.938,6269333313.17108,6584815846.52754,5998563257.94659,6193246837.09687,5840503868.51573,6178563591.12051,6606884275.23087,7939487547.77384,9239221763.05793,9977647682.96954,11902564494.8833,14440404132.2047,25127805566.6584,26673441430.7857,27871725241.4723,27305915910.7877,28915786516.6123,32612397257.4458,32387183730.1002,29203988696.2626,30744473841.424,32927025619.6795,35353061003.4359,37600368241.6657,40529788748.6737,45565333210.9108,48768955863.3175,53911907086.1525
Tunisia,,866155428.571429,880027733.333333,1026737600.0,1025866792.15686,991047619.047619,1040952380.95238,1085714285.71429,1214666666.66667,1289904761.90476,1439238095.2381,1685162272.40652,2237556148.51085,2730813385.32624,3545868575.14639,4328965587.53266,4508191942.16081,5109324009.32401,5968460080.1113,7188863903.63675,8744134354.16152,8428445294.08429,8133580051.70251,8350582747.83541,8254541194.82566,8410226052.6114,9017806654.4169,9696715910.70907,10096245762.4352,10101851744.5627,12290568181.8182,13074782608.6957,15496708060.4184,14608335608.1543,15633174304.0905,18030876599.3444,19587161806.7655,20746210353.845,21802893587.126,22943202174.9668,21473528160.7782,22065832448.8623,23141616604.5242,27453902261.4629,31183885241.4396,32272186694.8043,34376664600.5898,38915353866.757,44859439902.2191,43455740497.3061,46206091937.9628,48123325825.0739,47311401812.6733,48685446413.953,50271812920.612,45779494041.9295,44360072680.4476,42163530590.9462,42686504459.801,41905642418.825,42491780918.361,47073234359.1819,44929920092.7955,48205328303.3398,51332285656.5422
Togo,171057069.137772,178497098.264275,186745757.859216,202305865.235908,234572186.455851,264505506.022433,305227594.821437,327215843.636336,341691567.465593,378091809.602636,358665753.909298,404648367.76644,474043921.843537,574030983.980053,791450308.362944,871781686.907321,874681611.928369,1097893825.98815,1164025637.26464,1259365711.53521,1604836915.96662,1359026709.45126,1160337039.38068,1081387264.60786,1014170069.21689,1076604520.42427,1498219578.86978,1763978065.8368,1947208354.22555,1910635575.38044,2299665505.61434,2262767860.10937,2390796915.91958,1741944426.20894,1387662121.46736,1849110468.19569,2069506014.46659,2116818622.95834,2241650112.33333,2226577203.91399,2106848752.27753,2093498674.49678,2410199032.43102,2987984050.99318,3191561508.69088,3221910408.46516,3320907721.74508,3759962853.26476,4578847112.70688,4721888275.26937,4746386893.22553,5422439152.10906,5413541649.14901,6021729629.82454,6393314707.85456,5755457836.01866,6071167584.1951,6387424239.8801,7029215766.46367,6992654019.28876,7486031561.86885,8541668141.26198,8646453099.4124,9816236302.58515,10651180146.531
Tanzania,2651729807.38808,2826179031.22839,3101589992.664,3456579293.44828,3748840925.06363,3817226546.22938,4377998825.12047,4565132047.52718,4895251824.05927,5142066811.47328,2851419386.07225,3050673517.33059,3472787266.0964,4144104535.49655,4977337978.35959,5729917839.54264,6472511987.84735,7732598995.10303,9261675709.83072,9804637490.81892,11409228086.7463,13161540377.5792,13927383239.8322,14049883809.0089,12906635133.1557,15328295175.4067,10840864521.2338,7824193222.11908,7406614407.46127,6418799006.80247,6184384225.02712,7197768158.58347,6681997469.31292,6182872707.82523,6550480483.9385,7631431840.49992,9433528150.36609,11158197941.9152,12172790056.3733,12704334195.8151,13371767081.7428,13563990022.3641,14129651895.6911,15211487708.7684,16673062473.3981,18395383647.4975,18619859795.2852,21860434823.4808,27947821397.9272,29400573553.6075,32012892919.37,34657140096.4836,39650394362.9287,45648857242.315,49986726460.6805,47413919817.124,49774409374.4538,53274884532.7886,57003712892.0858,61026731925.9213,66068737786.0639,70655628147.8986,75749121842.9149,79030935627.0781,78844405385.2195
Sudan,1126364161.7644,1222860428.55503,1328259624.72217,1351234926.33899,1388282600.1961,1446869619.31898,1484491675.71652,1607409539.36648,1677771400.56798,1847501441.26221,2100229759.04718,2288340041.03486,2483055722.23738,3077254460.30228,3958931659.84759,4823090191.91008,6013210815.66115,7499005639.37649,8128719315.0792,8418407786.60599,8951800000.0,10753888154.2798,8732542273.73424,8230153846.15385,10447615384.6154,8075259600.3398,10092200000.0,12093333333.3333,14372555555.5556,21408111111.1111,33641222222.2222,44171194366.2039,7031933491.84899,8881005435.80602,12793794737.042,13830363899.9163,9018300724.66086,11681175864.3383,11250221536.7484,10682028339.6898,12257299147.2936,15716361792.1926,18137128388.3606,21355298459.5955,26646007250.7319,35182711987.974,45263831634.1497,59440139774.8128,64833083257.1431,51621044076.9231,58962978034.4828,55018567210.5263,37632919966.6667,43024018082.1918,49516748617.9775,51726758676.7677,42630376000.0,41283617976.1905,32333780383.2924,32338079165.2893,27034593750.0,34229513774.9936,51666875363.0963,39898289820.7951,49672435513.1126
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14586253383.0632,12231264525.0671,14602072410.9506,14907308932.7534,11931472169.4915,18426469016.9492,13962212847.4576,11997800760.2242,,,,,,,,,
South Africa,8748596500.5614,9225996309.60148,9813996074.40157,10854195658.3217,11955995217.6019,13068994772.4021,14211394315.4423,15821393671.4425,17124793150.0827,19256992297.2031,21218391512.6434,23411076638.279,24515919216.8851,33262772008.1446,41389186094.5992,42906905672.42,41150460287.6151,45328411332.1028,51607412901.8532,63038658088.9121,89411864402.4272,93141472163.7596,85904057409.3585,96204110941.5672,84870163365.9306,64459376086.6883,73354771399.2627,96535763418.3729,103976831870.957,108055624081.806,126048140141.869,135203698237.977,146956150986.636,147194747565.75,153512712381.836,171735933897.331,163234925380.563,168978057327.73,152982984557.233,151516957078.536,151752757215.309,135429905922.526,129087556612.449,197018965308.697,255806908594.573,288867217196.534,303858675363.643,333077117253.684,316131258616.309,329754060647.129,417363822801.713,458199494830.834,434400545085.811,400886013595.573,381198869776.106,346709790458.563,323585509674.481,381448814653.456,405260723892.517,389330032224.269,337974655408.055,419986284375.368,407596043067.885,381440724491.232,401144998373.585
"Somalia, Fed. Rep.",180459936.776025,191659914.376034,203531927.547229,216145935.941626,229529912.668035,243725898.029641,257375897.049641,271781886.807245,286719885.312046,306357284.571429,347985394.285714,347039445.705569,447883941.190165,483699610.602563,572504035.901509,757015878.792693,871344245.115171,498550724.637681,564571823.20442,589566929.133858,602515548.452104,699302473.050095,774578931.96392,735408641.768548,787434541.728857,875702247.191011,916590786.326105,1018972664.4638,1051596967.1287,1181360843.93549,1031282081.16683,717974929.763158,709297578.5,1260132955.78746,1481205097.98113,1534756134.55022,1792234297.39194,2191749013.58124,2962047564.41651,3045751527.66005,3412797450.20112,2252847464.68608,2192684134.59273,2836724351.5616,3859592813.10255,4683246454.10048,5026743282.04251,5430713728.89074,5913620292.90573,2948594552.44952,2687807003.73935,2906000096.93249,4364670159.99578,5062881600.00104,5728399719.99958,6152149099.99942,6613743069.99912,7621501710.0012,7873000000.0,8656000000.0,8628000000.0,9483000000.0,10203000000.0,10958000000.0,11967000000.0
